﻿姓名,性别,年龄(逮捕时),出生地,国籍,职业,年份,犯罪类型,事件描述,法律状态,结果
Hubert·XX,男,34,"Ososa, Ogun State",尼日利亚,戏剧家/演员/音乐家,1950,煽动罪(sedition),在Kano、Kaduna、Makurdi等地上演政治讽刺剧《Bread and Bullet》（面包与子弹），被指控煽动罪,被捕并起诉,法庭释放但因未经许可张贴海报被罚款6英镑；剧团被禁演
Fela·XX,男,约30-50岁区间,Abeokuta,尼日利亚,音乐家(Afrobeat创始人),1970s-1984,多次逮捕：政治异见、持有大麻、货币走私等,因批评军政府、发表政治言论被逮捕超过200次；1977年Kalakuta Republic遭军队袭击，本人被严重殴打，母亲被从窗户扔出导致受伤去世；1984年因货币走私被判刑,多次被捕、拘留、起诉,1984年被判5年监禁，实际服刑20个月后由Babangida将军释放；国际特赦组织认定为良心犯
King·XX,男,约28,Ondo,尼日利亚,音乐家(Juju音乐),1974,合同纠纷(民事诉讼),与唱片公司African Songs Limited主席Chief Abioro的唱片合同纠纷，被指控违反合同,民事诉讼/法院禁令,法院颁发临时禁令，禁止其销售、表演和录制音乐；后案件和解或判决(具体结果档案不详)
Burna·XX,男,19,Port Harcourt,尼日利亚,音乐家(Afrobeats),2010,帮派相关刺杀/谋杀,在英国因涉嫌与帮派相关的刺杀案件被捕，有人死亡,被捕并起诉,被定罪判刑，在英国监狱服刑数月后获释；具体刑期未公开[cite:42][cite:58][cite:63]
SXXXX,男,约32,Lagos,尼日利亚,说唱歌手,2016-2017,信用卡诈骗/身份盗窃/银行诈骗,在美国爱达荷州Boise，使用被盗纳税人信息提交1000多份虚假税务申报，骗取810万美元退税，实际获得130万美元,被捕并起诉(美国联邦法院),2017年被判处2年联邦监禁(部分报道)；2026年另案被判8年监禁，罪名包括计算机入侵、盗窃政府财产、邮件诈骗、电信诈骗[cite:68][cite:73][cite:99]
Dammy·XX,男,23,Lagos,尼日利亚,音乐家(流行/Afrobeats),2017,信用卡伪造/重大盗窃,在美国佛罗里达州迈阿密，使用假信用卡预订私人飞机，警方在其钱包中发现7张假信用卡,被捕并起诉，面临9项重罪指控,案件经法律程序处理后获释，具体判决细节未完全公开[cite:66][cite:70]
Burna·XX,男,约26,Port Harcourt,尼日利亚,音乐家(Afrobeats),2017,涉嫌策划抢劫,被指控派人抢劫歌手Mr 2Kay，嫌疑人供认是Burna·XX指使以教训对方(两人曾在社交媒体上发生冲突),被捕并起诉武装抢劫罪,出庭后以不认罪抗辩，获得保释；案件后续结果未见明确公开判决[cite:96][cite:101][cite:107]
Small·XX,男,约24,Lagos,尼日利亚,音乐家(街头流行),2018,非法持有枪支/威胁警察,被指控在Shogunle地区非法持有功能性步枪和子弹，并威胁向警察开枪,被捕并游街示众,被起诉后获保释，具体判决结果未见完整公开报道[cite:78][cite:83]
Naira·XX,男,约25,Lagos,尼日利亚,音乐家(Afrobeats/街头流行),2019,网络犯罪/预付费诈骗,EFCC突袭其Lekki住所，以涉嫌互联网相关诈骗和网络犯罪逮捕他及4名同伙,被捕并起诉，面临11项罪名,获得200万奈拉保释；案件多次延期，截至2024年3月仍在审理中，未见最终判决[cite:49][cite:54][cite:71][cite:105][cite:108]
Zlatan·XX,男,约24,Lagos,尼日利亚,音乐家(街头流行),2019,网络犯罪嫌疑,与Naira·XX等人同时被EFCC逮捕，涉嫌网络犯罪,被捕拘留,拘留数日后获释，未见正式起诉或定罪记录[cite:49][cite:71]
Funke·XX,女,约43,Lagos,尼日利亚,女演员(Nollywood)/制片人,2020,违反COVID-19封锁规定,在拉各斯封锁期间为丈夫举办生日派对，违反防疫规定,被捕并起诉,在法庭上认罪，被判罚款10万奈拉(约260美元)，并执行社区服务[cite:48][cite:57][cite:62]
FXXXX XXXXXXXXXX,男,约43,未知,尼日利亚,音乐制作人,2020,违反COVID-19封锁规定,与妻子Funke·XX一同因举办派对违反封锁令被捕,被捕并起诉,认罪，被判罚款10万奈拉，并执行社区服务[cite:57][cite:62]
TXXXXX,男,约42,Port Harcourt,尼日利亚,音乐家(Afrobeats/Dancehall),2022,肇事逃逸,在拉各斯Ikate地区用车撞伤一名女子后逃离现场,被捕,被捕后案件进入法律程序，具体判决结果未完全公开[cite:77][cite:82]
D'XXXX,男,约42,Zaria,尼日利亚,音乐家(Afrobeats),2022,N-Power项目诈骗,被指控涉嫌N-Power政府扶贫项目资金诈骗，多次拒绝ICPC传唤后自首,被捕拘留,拘留数日后获行政保释；2023年11月ICPC和警方正式澄清，D'XXXX未被发现有任何违规行为，案件撤销[cite:50][cite:53][cite:55][cite:109]
PXXXXXXX,男,约28,Ogun State,尼日利亚,音乐家(街头流行),2022,殴打DJ,因殴打一名DJ被警方传唤调查,传唤调查,案件处理后获释，未见监禁记录[cite:87]
Seun·XX,男,40,Lagos,尼日利亚,音乐家(Afrobeat)/萨克斯手,2023,袭警,在拉各斯街头视频显示其对警察大喊并推搡击打警察；他声称警察试图谋杀他和家人,被捕,获保释后案件进入审理程序，具体判决结果未见完整公开报道[cite:56][cite:61]
PXXXXXXX,男,约29,Ogun State,尼日利亚,音乐家(街头流行),2023,袭击,因袭击他人被捕,被捕,获保释，案件审理中[cite:87]
Naira·XX,男,约29,Lagos,尼日利亚,音乐家,2023,涉嫌与Mohbad死亡有关,歌手Mohbad(前签约艺人)于2023年9月12日在拉各斯医院去世(27岁)，Naira·XX作为前老板被拘留问话,拘留调查,拘留问话后获释；警方最终认定助理护士为主要嫌疑人，Naira·XX和Sam·XX未被正式起诉[cite:85][cite:86][cite:90][cite:91]
Sam·XX,男,未知,Lagos,尼日利亚,音乐推广人,2023,涉嫌与Mohbad死亡有关,在Mohbad死亡案中被指控与死亡有关，被警方逮捕,被捕调查,拘留问话后获释；未被正式起诉，警方认定护士为主要嫌疑人[cite:85][cite:90]
SXXXXX,男,约32,Kaduna,尼日利亚,音乐家(Afrobeats),2023,涉嫌窝藏网络诈骗犯,"EFCC在其住所逮捕两名涉嫌约会诈骗的嫌疑人，两人称SXXXXX为""导师""并在其住所居住",住所被搜查,SXXXXX本人未被正式起诉，两名嫌疑人被起诉[cite:67][cite:72]
PXXXXXXX,男,约30,Ogun State,尼日利亚,音乐家(街头流行),2024,G Wagon购车债务纠纷,因购买奔驰G Wagon未付清款项被经销商报案，涉嫌诈骗,被捕,获保释后案件进入民事/刑事程序[cite:87]
Speed·XX,男,约40,未知,尼日利亚,说唱歌手,2024-2025,网络跟踪/涉嫌与未成年人性行为,2024年因Burna·XX报案涉嫌网络跟踪被捕拘留；2025年因涉嫌与未成年人性行为被NAPTIP宣布通缉,被捕拘留；后被通缉,2024年案件拘留数月后获释；2025年NAPTIP通缉后他拒绝配合，要求撤销通缉并赔偿250万奈拉，截至2026年3月仍未到案[cite:59][cite:64]
PXXXXXXX,男,约31,Ogun State,尼日利亚,音乐家(街头流行),2026,袭警/拒捕,因袭击警察和拒捕被起诉，面临9项刑事指控,被捕并起诉,被判袭警罪成立，判处3个月监禁(部分报道)或罚款/社区服务(具体执行结果报道不一)[cite:87][cite:92]
