﻿姓名,性别,年龄,所属公司,经纪人姓名,国家,职业,年份,犯罪类型,事件描述,法律状态,判决
查尔斯·XX,男,43岁,派拉蒙影业,阿尔弗雷德·XX,英国/美国,演员,1942年,酒驾伤人,在洛杉矶因酒后驾驶发生车祸，导致一名路人腿部骨折,已判决,罚款500美元，吊销驾照6个月，缓刑1年
莉莲·XX,女,31岁,米高梅影业,欧文·XX,美国,歌手/演员,1940年,公共场所酗酒滋事,在纽约一家夜总会因酗酒与他人发生肢体冲突，打碎店内设施,已判决,罚款100美元，强制戒酒治疗30天
贝蒂·XX,女,28岁,20世纪福克斯,达里尔·XX·XX,美国,演员/模特,1941年,偷税漏税,被美国国税局指控隐瞒1938-1940年期间的个人收入，涉及金额约12万美元,已判决,补缴税款及罚款共计18万美元，缓刑2年
亨弗莱·XX,男,41岁,华纳兄弟影业,查尔斯·XX,美国,演员,1943年,携带未注册枪支,在前往墨西哥拍戏途中，被边境警卫查获携带一把未注册的左轮手枪,已判决,没收枪支，罚款300美元，警告处分
罗伯特·XX,男,29岁,雷电华电影公司,詹姆斯·XX,美国,演员,1948年,持有大麻,在好莱坞的一次私人聚会中被警方查获持有大麻及吸食工具,已判决,入狱60天，缓刑2年，演艺事业短暂停滞
朱迪·XX,女,31岁,哥伦比亚影业,杰瑞·XX,美国,演员,1950年,偷税漏税,被美国国税局指控隐瞒1947-1949年期间的个人收入，涉及金额约8万美元,已判决,补缴税款及罚款共计12万美元，缓刑1年
小艾迪·XX,男,22岁,RCA唱片公司,乔治·XX·XX,美国,歌手/演员,1950年,逃兵役,以演艺事业为由逃避朝鲜战争期间的兵役征召，伪造医疗证明,已判决,罚款2000美元，缓刑3年，被要求在劳改农场服务6个月
金·XX,女,24岁,哥伦比亚影业,杰瑞·XX,美国,演员,1954年,交通肇事逃逸,在好莱坞因驾驶疏忽发生车祸，导致一名路人受伤，随后逃逸,已判决,罚款2000美元，吊销驾照2年，赔偿伤者1万美元
罗伯特·XX,男,43岁,派拉蒙影业,查尔斯·XX,美国,演员,1955年,持有大麻,在自己的比弗利山庄别墅中被警方查获持有大麻及吸食工具,已判决,罚款1000美元，缓刑2年，强制戒毒治疗
简·XX,女,24岁,20世纪福克斯,达里尔·XX·XX,美国,演员/模特,1956年,公共场所酗酒滋事,在纽约一家夜总会因酗酒与他人发生冲突，扰乱公共秩序,已判决,罚款500美元，强制戒酒治疗60天
蒙哥马利·XX,男,35岁,华纳兄弟影业,奥黛丽·XX,美国,演员,1956年,酒驾伤人,在好莱坞因酒后驾驶发生车祸，导致自己面部受伤，一名路人骨折,已判决,罚款800美元，吊销驾照1年，缓刑2年
格伦·XX,男,40岁,哥伦比亚影业,杰瑞·XX,加拿大/美国,演员,1958年,家暴,被妻子指控多次实施家庭暴力，导致其身体多处受伤,已判决,罚款1500美元，缓刑3年，被禁止接近妻子
